,id,betweenness,clustering,parlamentares,success,gender
0,155,7.349615558570783e-05,0.9818181818181818,0.14705882352941177,0.5882352941176471,1
1,160,0.0023062703160316527,0.8589743589743589,0.14705882352941177,0.5555555555555556,1
2,187,0.0031562101770590905,0.9043478260869565,0.19117647058823528,0.9408450704225352,1
3,220,0.005549720465968986,0.8751156336725254,0.058823529411764705,0.924187725631769,1
4,224,0.0028845224576361387,0.9141414141414141,0.19117647058823528,0.9159420289855073,1
5,267,0.005817153368287622,0.8868686868686869,0.029411764705882353,0.9158249158249159,1
6,268,0.0028845224576361387,0.9141414141414141,0.07352941176470588,0.9069767441860465,1
7,273,0.005549720465968986,0.8751156336725254,0.07352941176470588,0.9140401146131805,1
8,277,0.0,0.0,0.029411764705882353,1.0,1
9,676,0.0008868446081335062,0.9460887949260042,0.058823529411764705,0.9173553719008265,1
10,756,0.003299924853133794,0.9354354354354354,0.058823529411764705,0.8715596330275229,1
11,776,0.004141676629902938,0.6428571428571429,0.058823529411764705,0.8159509202453987,1
12,796,0.06813326151115634,0.4888888888888889,0.04411764705882353,0.8,1
13,896,0.08288963758785045,0.7786561264822134,0.029411764705882353,0.7841191066997518,1
14,1296,0.0008868446081335062,0.9460887949260042,0.029411764705882353,0.9479553903345725,1
15,1297,0.01038334823178082,0.8594080338266384,0.04411764705882353,0.96875,1
16,1300,0.009135422804999188,0.8603145235892692,0.19117647058823528,0.9368421052631579,1
17,1305,0.0,1.0,0.058823529411764705,0.7455012853470437,1
18,1311,0.0005509195974160653,0.9393939393939394,0.14705882352941177,0.5032258064516129,1
19,1316,0.0015152493364504135,0.9262626262626262,0.058823529411764705,0.9312977099236641,0
20,1319,0.005126024861571191,0.8858585858585859,0.029411764705882353,0.8208955223880597,0
21,1326,0.004203049779004904,0.9164904862579282,0.19117647058823528,0.95,1
22,1349,0.0023062703160316527,0.8589743589743589,0.14705882352941177,0.5507246376811594,1
23,1447,0.016871869777997886,0.7582417582417582,0.14705882352941177,0.5386740331491713,1
24,1487,0.0023321986869883865,0.9232323232323232,0.014705882352941176,0.9503311258278145,1
25,1633,0.0006267626815680498,0.9512735326688815,0.058823529411764705,0.933920704845815,1
26,1634,0.0023062703160316527,0.8589743589743589,0.14705882352941177,0.5060240963855421,0
27,1635,0.0005963546705109379,0.9628339140534262,0.07352941176470588,0.9038461538461539,0
28,1636,0.0023321986869883865,0.9232323232323232,0.029411764705882353,0.9319371727748691,1
29,1647,0.0015152493364504135,0.9262626262626262,0.058823529411764705,0.9185393258426966,0
30,1707,0.01853463440571114,0.7980676328502415,0.07352941176470588,0.9224137931034483,1
31,1930,0.05831911205650269,0.8357487922705314,0.058823529411764705,0.8759124087591241,1
32,1932,0.12828162400413717,0.914651493598862,0.19117647058823528,0.8712121212121212,1
33,1947,0.007288924932014131,0.8205128205128205,0.14705882352941177,0.5488215488215489,1
34,1989,0.0008868446081335062,0.9460887949260042,0.029411764705882353,0.9438596491228071,1
35,1990,0.0015152493364504135,0.9262626262626262,0.029411764705882353,0.9700598802395209,1
36,1996,0.0014197769557722693,0.9302325581395349,0.19117647058823528,0.8924731182795699,1
37,1998,0.0038383594567849536,0.9303135888501742,0.19117647058823528,0.8951965065502183,0
38,1999,0.03202842448947524,0.7692307692307693,0.058823529411764705,0.46543778801843316,1
39,2000,0.007288924932014131,0.8205128205128205,0.14705882352941177,0.5525291828793775,1
40,2001,0.0005509195974160653,0.9393939393939394,0.14705882352941177,0.5757575757575758,1
41,2002,0.02030539393532415,0.7983348751156337,0.014705882352941176,0.8727272727272727,1
42,2129,0.002817638093538101,0.9253968253968254,0.014705882352941176,0.9615384615384616,1
43,2142,0.0031562101770590905,0.9043478260869565,0.19117647058823528,0.936046511627907,0
