,id,betweenness,clustering,parlamentares,partido,extreme_party,success,gender
0,132,0.0007307123008744162,0.9185185185185185,0.019417475728155338,PP,0,0.9021739130434783,0
1,155,0.006359782221125612,0.8010928961748633,0.14563106796116504,PT,1,0.8344594594594594,0
2,160,0.0017515984468523722,0.717948717948718,0.14563106796116504,PT,1,0.5555555555555556,0
3,176,0.00024202482328720623,0.9583718778908418,0.07766990291262135,PV,0,0.8732394366197183,0
4,179,0.0002592717634407912,0.9574468085106383,0.019417475728155338,PDT,0,0.9140625,0
5,187,0.009018237284100524,0.6939024390243902,0.1650485436893204,PSDB,1,0.6866746698679472,0
6,208,0.0029451090597554176,0.8693284936479129,0.038834951456310676,PMDB,1,0.8685185185185185,0
7,220,0.01094511668454826,0.6709876543209876,0.038834951456310676,PR,1,0.9053905390539054,0
8,224,0.004030385694202928,0.7486631016042781,0.1650485436893204,PSDB,1,0.5930359085963003,0
9,261,0.0003660765274891263,0.9498299319727891,0.14563106796116504,PT,1,0.8591549295774648,0
10,267,0.011427876782735807,0.6666666666666666,0.05825242718446602,PTB,0,0.9131868131868132,0
11,268,0.009799722045961868,0.6861408633560532,0.07766990291262135,PV,0,0.909437559580553,0
12,271,0.00022549703935869782,0.9611470860314524,0.10679611650485436,PSD,1,0.927710843373494,0
13,273,0.011149462210100011,0.6723276723276723,0.02912621359223301,DEMOCRATAS,1,0.9135135135135135,0
14,277,0.0,0.0,0.019417475728155338,PODE,1,1.0,0
15,313,0.0015077562469105442,0.8700564971751412,0.038834951456310676,PMDB,1,0.938255033557047,0
16,676,0.01094511668454826,0.6709876543209876,0.038834951456310676,PRB,1,0.9278350515463918,0
17,756,0.01752477337303165,0.6623742454728371,0.05825242718446602,PTB,0,0.8637770897832817,0
18,776,0.005807860537314031,0.765034965034965,0.02912621359223301,PSB,0,0.8300180831826401,0
19,796,0.009229901566972256,0.5688405797101449,0.07766990291262135,PV,0,0.5852895148669797,1
20,876,7.396368425368106e-06,0.9956989247311828,0.038834951456310676,PR,1,0.8095238095238095,0
21,896,0.024148251786794833,0.6225198412698413,0.02912621359223301,PPS,0,0.771689497716895,0
22,936,0.0009505639311114832,0.9035087719298246,0.14563106796116504,PT,1,0.9087048832271762,0
23,1259,3.876829358767026e-05,0.9873015873015873,0.14563106796116504,PT,1,1.0,0
24,1296,0.012420569124250602,0.6682098765432098,0.05825242718446602,PTB,0,0.9093567251461988,0
25,1297,0.011457587438561425,0.6754385964912281,0.07766990291262135,PV,0,0.8677685950413223,0
26,1299,0.001296893523644942,0.8825248392752776,0.038834951456310676,PR,1,0.8449074074074074,0
27,1300,0.006051135769047698,0.6955903271692745,0.1650485436893204,PSDB,1,0.6657681940700808,0
28,1305,0.019067626484670842,0.6448412698412699,0.10679611650485436,PSD,1,0.7315068493150685,0
29,1307,0.00034733189527067393,0.950354609929078,0.10679611650485436,PSD,1,0.8580645161290322,1
30,1309,0.001296893523644942,0.8825248392752776,0.14563106796116504,PT,1,0.9040178571428571,0
31,1310,0.02532588365817549,0.7082728592162555,0.10679611650485436,PSD,1,0.7688442211055276,0
32,1311,0.006143740237069002,0.7960257159555816,0.14563106796116504,PT,1,0.7355901189387009,0
33,1316,0.011953911079181138,0.6594399277326106,0.02912621359223301,PROS,1,0.9137931034482759,1
34,1319,0.0023097691619632394,0.8528368794326241,0.02912621359223301,PPS,0,0.8208955223880597,1
35,1326,0.015359258046465351,0.6633011413520632,0.1650485436893204,PSDB,1,0.8648648648648649,0
36,1349,0.007485701739782749,0.7800105764145955,0.14563106796116504,PT,1,0.8387715930902111,0
