,id,betweenness,clustering,parlamentares,partido,extreme_party,success,gender
0,132,0.0023580697095182735,0.810351966873706,0.02586206896551724,PP,0,0.902229845626072,0
1,155,0.008022840624696735,0.712280701754386,0.16379310344827586,PT,1,0.8337531486146096,0
2,160,0.0007350378567330217,0.6601307189542484,0.16379310344827586,PT,1,0.5555555555555556,0
3,164,0.0020656259071659758,0.7872340425531915,0.16379310344827586,PT,1,0.8333333333333334,0
4,176,0.0016339870193363998,0.8427579365079365,0.0603448275862069,PV,0,0.8876404494382022,0
5,179,0.002901407448135739,0.7941176470588235,0.017241379310344827,PDT,0,0.92,0
6,187,0.008567093769113854,0.6396270396270396,0.1724137931034483,PSDB,1,0.7017142857142857,0
7,208,0.0010596453708283785,0.9005464480874317,0.04310344827586207,PMDB,1,0.8685185185185185,0
8,220,0.010968340470928623,0.6259437199725463,0.05172413793103448,PR,1,0.9067524115755627,0
9,224,0.0056562594702949534,0.6070889894419306,0.1724137931034483,PSDB,1,0.6031746031746031,0
10,261,0.0019134827152004503,0.8337662337662337,0.16379310344827586,PT,1,0.8499025341130604,0
11,267,0.010718620140582683,0.6269284712482468,0.05172413793103448,PTB,0,0.9146211312700107,0
12,268,0.009100312744318,0.6506866416978776,0.0603448275862069,PV,0,0.9108455882352942,0
13,271,0.0013646600180733332,0.8598625066102591,0.1206896551724138,PSD,1,0.9291553133514986,0
14,273,0.012408004343987256,0.6208333333333333,0.02586206896551724,DEMOCRATAS,1,0.9138381201044387,0
15,277,0.0,0.0,0.008620689655172414,PODE,1,1.0,0
16,280,0.0003299895122291537,0.7777777777777778,0.16379310344827586,PT,1,0.5185185185185185,0
17,313,0.0005122859483282238,0.923728813559322,0.04310344827586207,PMDB,1,0.938255033557047,0
18,676,0.012314944455622492,0.6135964912280701,0.034482758620689655,PRB,1,0.927,0
19,716,0.0005454096117009454,0.8850174216027874,0.04310344827586207,PMDB,1,0.9534883720930233,0
20,756,0.010721888071553477,0.6595261278805583,0.05172413793103448,PTB,0,0.8630952380952381,0
21,776,0.016645302759305917,0.5920991117344554,0.034482758620689655,PSB,0,0.8310344827586207,0
22,796,0.012208045949302923,0.497737556561086,0.0603448275862069,PV,0,0.6074074074074074,1
23,876,0.0018445054938669384,0.7983673469387755,0.05172413793103448,PR,1,0.8,0
24,896,0.022656040891394235,0.5630290551361244,0.02586206896551724,PPS,0,0.7905544147843943,0
25,936,0.0003769697432647666,0.9382940108892922,0.16379310344827586,PT,1,0.9087048832271762,0
26,1259,0.001139986393985996,0.8792682926829268,0.16379310344827586,PT,1,0.9333333333333333,0
27,1263,0.0008475141892345557,0.7733990147783252,0.16379310344827586,PT,1,0.7,0
28,1296,0.010346564463579183,0.6593707250341997,0.05172413793103448,PTB,0,0.8948863636363636,0
29,1297,0.017374604653128217,0.5906357388316151,0.0603448275862069,PV,0,0.8716577540106952,0
30,1298,0.0005904664972365853,0.8792912513842747,0.05172413793103448,PR,1,0.9655172413793104,0
