,id,clustering,betweenness,parlamentares
0,132,0.8136645962732919,0.0021779984811401026,2
1,155,0.751307847082495,0.006335026689952661,13
2,176,0.835820895522388,0.0017203915474105673,7
3,179,0.786317907444668,0.003198354287358098,2
4,187,0.6213114754098361,0.007907106643372188,11
5,208,0.9016949152542373,0.0012395702283395163,4
6,220,0.6305193319606497,0.010731809504267442,3
7,224,0.6139455782312925,0.005111846246247996,11
8,261,0.8577694235588973,0.001256782842827598,13
9,267,0.6327723235156615,0.01039498262478002,6
10,268,0.6463980463980464,0.009440288608993985,7
11,271,0.8354312354312354,0.0016956804504688924,9
12,273,0.6133771929824562,0.01297632369637938,2
13,313,0.9220338983050848,0.0005135679809834576,4
14,676,0.6221724524076148,0.01160306451048852,2
15,756,0.6142742582197274,0.013619600265263092,6
16,776,0.6310010214504597,0.011788861669439061,1
17,796,0.4965986394557823,0.014136288688714629,7
18,876,0.8407843137254902,0.001199011350685788,3
19,896,0.566056166056166,0.02314711905748044,2
20,936,0.9328493647912885,0.00041081298786910703,13
21,1259,0.8050847457627118,0.002152691927455652,13
22,1296,0.66484268125855,0.00871905207152379,6
23,1297,0.5895618556701031,0.016608623821085355,7
24,1299,0.8497267759562842,0.002090862125147487,3
25,1300,0.5943396226415094,0.006112853568193044,11
26,1305,0.5906537282941777,0.02118488085699565,9
27,1307,0.7988064791133845,0.002560656168375967,9
28,1309,0.9220338983050848,0.0005135679809834576,13
29,1310,0.6576576576576577,0.016477865373637535,9
30,1311,0.7458163726820444,0.0070512596243294786,13
31,1316,0.625486158773736,0.011011140254666,3
32,1326,0.5740105239075727,0.018163234383013368,11
33,1349,0.7355403348554034,0.0071026705612975945,13
34,1447,0.7115677321156774,0.011712435997697212,13
35,1487,0.621368107984443,0.013258968638526233,3
36,1628,0.7904761904761904,0.0030672255183232496,3
37,1631,0.7708516242317822,0.00412673305401943,9
38,1632,0.6761363636363636,0.0031094095586739717,11
39,1633,0.6153508771929824,0.01222769743489099,2
40,1634,0.7130692336171788,0.007902485439854888,13
41,1635,0.6504369538077404,0.009155533564597734,2
42,1637,0.8129938542581212,0.0020456965977079227,2
43,1647,0.6280027453671929,0.010978937934281112,9
44,1667,0.7190704032809296,0.010158696980180909,7
45,1707,0.6017917133258679,0.014530523144995314,9
46,1768,0.6285714285714286,0.0013878692947583186,11
47,1927,0.9358741681790683,0.00038621485419599894,6
48,1928,0.6047619047619047,0.0013339207830927935,2
49,1930,0.6967780788919,0.006808404545832374,3
50,1932,0.7117117117117117,0.003680159690827403,11
51,1947,0.7849462365591398,0.007847498439124882,13
52,1967,0.9220338983050848,0.0005135679809834576,13
53,1987,0.9977851605758582,6.023842207504715e-06,3
54,1988,0.9461279461279462,0.0002913773829126969,2
55,1989,0.7055555555555556,0.0063970541249818704,4
56,1990,0.6967780788919,0.006808404545832374,4
57,1991,0.9304500292226768,0.0004402197051036404,3
58,1992,0.9427609427609428,0.0003159453390733622,2
59,1993,0.9861239592969473,4.908891680472019e-05,9
60,1994,0.9010989010989011,0.00011352187764327956,11
61,1995,0.8461538461538461,0.00016503646421928592,11
62,1996,0.7240398293029872,0.0028447546677847417,11
63,1998,0.6891891891891891,0.00327094415523146,11
64,1999,0.47058823529411764,0.0028730898040701482,1
65,2000,0.822141560798548,0.005512749247945369,13
66,2001,0.830005120327701,0.003982899880013913,13
67,2002,0.703395061728395,0.0064356937505473865,6
68,2003,0.9220338983050848,0.0005135679809834576,6
69,2108,0.9744897959183674,9.552153556963444e-05,7
70,2127,0.9623529411764706,0.00016013041274726212,6
71,2129,0.7682983682983683,0.003209397045916743,2
72,2131,0.9113475177304965,0.0012943984603332197,2
73,2138,0.867595818815331,0.0021543737912143096,3
